[18/11/2018 09:09:16], epoch: 143, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 09:09:38], epoch: 144, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:09:59], epoch: 145, t/smpl: 0.034s, net_loss: -1.000 
[18/11/2018 09:10:20], epoch: 146, t/smpl: 0.035s, net_loss: -1.000 
[18/11/2018 09:10:41], epoch: 147, t/smpl: 0.015s, net_loss: -1.000 
[18/11/2018 09:11:02], epoch: 148, t/smpl: 0.034s, net_loss: -1.000 
[18/11/2018 09:11:23], epoch: 149, t/smpl: 0.034s, net_loss: -1.000 
[18/11/2018 09:11:44], epoch: 150, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:12:06], epoch: 151, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:12:27], epoch: 152, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:12:48], epoch: 153, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 09:13:11], epoch: 154, t/smpl: 0.035s, net_loss: -1.000 
[18/11/2018 09:13:33], epoch: 155, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:13:56], epoch: 156, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:14:17], epoch: 157, t/smpl: 0.002s, net_loss: -1.000 
[18/11/2018 09:14:38], epoch: 158, t/smpl: 0.034s, net_loss: -1.000 
[18/11/2018 09:14:59], epoch: 159, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:15:21], epoch: 160, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:15:42], epoch: 161, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:16:03], epoch: 162, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:16:24], epoch: 163, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:16:45], epoch: 164, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:17:06], epoch: 165, t/smpl: 0.004s, net_loss: -1.000 
[18/11/2018 09:17:28], epoch: 166, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:17:49], epoch: 167, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:18:10], epoch: 168, t/smpl: 0.022s, net_loss: -1.000 
[18/11/2018 09:18:31], epoch: 169, t/smpl: 0.009s, net_loss: -1.000 
[18/11/2018 09:18:53], epoch: 170, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:19:13], epoch: 171, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:19:35], epoch: 172, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:19:56], epoch: 173, t/smpl: 0.035s, net_loss: -1.000 
[18/11/2018 09:20:17], epoch: 174, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:20:38], epoch: 175, t/smpl: 0.003s, net_loss: -1.000 
[18/11/2018 09:20:59], epoch: 176, t/smpl: 0.035s, net_loss: -1.000 
[18/11/2018 09:21:21], epoch: 177, t/smpl: 0.035s, net_loss: -1.000 
[18/11/2018 09:21:42], epoch: 178, t/smpl: 0.006s, net_loss: -1.000 
[18/11/2018 09:22:03], epoch: 179, t/smpl: 0.027s, net_loss: -1.000 
[18/11/2018 09:22:24], epoch: 180, t/smpl: 0.036s, net_loss: -1.000 
